Date,Category,Amount,Description
2023-12-06,Transportation,4.55,Parking fee
2023-12-06,Other,6.21,Donation
2023-12-07,Other,9.9,Donation
2023-12-07,Entertainment,10.2,Music subscription
2023-12-08,Bills,42.39,Insurance
2023-12-09,Food,6.4,Breakfast cafe
2023-12-09,Entertainment,6.54,Arcade
2023-12-11,Healthcare,18.47,Dental checkup
2023-12-11,Transportation,6.17,Gas/Fuel
2023-12-11,Healthcare,10.09,Pharmacy
2023-12-12,Food,11.29,Fast food
2023-12-13,Shopping,14.56,Decorations
2023-12-13,Education,9.07,Certification
2023-12-13,Transportation,8.06,Car wash
2023-12-14,Healthcare,1.9,Physical therapy
2023-12-14,Transportation,8.41,Uber
2023-12-14,Food,9.13,Street food
2023-12-15,Other,7.72,Donation
2023-12-16,Entertainment,6.12,Concert
2023-12-16,Healthcare,11.28,Dental checkup
2023-12-16,Bills,36.67,Water bill
2023-12-17,Food,12.82,Fast food
2023-12-17,Bills,33.92,Internet
2023-12-17,Food,14.15,Fruit stand
2023-12-18,Other,8.6,Beauty
2023-12-18,Shopping,23.44,Electronics
2023-12-18,Entertainment,6.28,Arcade
2023-12-20,Transportation,7.28,Taxi ride
2023-12-20,Food,11.65,Market shopping
2023-12-20,Education,14.87,Books
2023-12-22,Shopping,24.42,Decorations
2023-12-22,Shopping,21.79,Clothing
2023-12-23,Healthcare,11.59,Doctor visit
2023-12-23,Education,4.66,Books
2023-12-23,Other,1.21,Beauty
2023-12-24,Food,11.45,Butcher shop
2023-12-24,Entertainment,11.04,Streaming service
2023-12-24,Bills,8.44,HOA fee
2023-12-24,Shopping,5.13,Kitchenware
2023-12-24,Transportation,3.62,Vehicle maintenance
2023-12-25,Food,8.53,Seafood
2023-12-25,Transportation,2.59,Gas/Fuel
2023-12-25,Other,10.06,Personal care
2023-12-26,Other,7.64,Gift
2023-12-27,Entertainment,5.3,Movie tickets
2023-12-28,Healthcare,5.4,Eye exam
2023-12-30,Shopping,4.56,Home items
2023-12-31,Other,11.64,Hobby materials
2023-12-31,Shopping,10.47,Decorations
2024-01-01,Entertainment,4.28,Streaming service
2024-01-01,Other,3.99,Membership
2024-01-02,Healthcare,11.78,Eye exam
2024-01-02,Other,5.02,Hobby materials
2024-01-02,Education,27.48,Study materials
2024-01-02,Bills,49.96,Gas bill
2024-01-02,Food,4.43,Restaurant meal
2024-01-03,Food,11.77,Dinner out
2024-01-04,Transportation,1.7,Bus fare
2024-01-04,Food,3.02,Seafood
2024-01-06,Education,5.11,Certification
2024-01-07,Entertainment,14.16,Bowling
2024-01-07,Education,6.88,Tuition
2024-01-07,Entertainment,7.19,Arcade
2024-01-08,Education,19.46,Supplies
2024-01-08,Other,10.13,Hobby materials
2024-01-11,Transportation,10.47,Bus fare
2024-01-11,Entertainment,10.84,Concert
2024-01-11,Healthcare,2.95,Pharmacy
2024-01-12,Food,3.66,Breakfast cafe
2024-01-12,Healthcare,6.16,Physical therapy
2024-01-12,Shopping,20.74,Clothing
2024-01-12,Food,6.01,Restaurant meal
2024-01-14,Healthcare,19.84,Pharmacy
2024-01-15,Shopping,22.8,Home items
2024-01-15,Transportation,7.84,Car wash
2024-01-15,Food,1.94,Market shopping
2024-01-16,Food,13.74,Fruit stand
2024-01-16,Shopping,15.0,Clothing
2024-01-17,Education,6.19,Online course
2024-01-18,Bills,43.67,Water bill
2024-01-18,Food,3.4,Seafood
2024-01-19,Food,10.87,Bakery items
2024-01-20,Bills,24.38,Gas bill
2024-01-20,Entertainment,9.33,Gaming
2024-01-21,Education,24.6,Training
2024-01-21,Other,16.2,Miscellaneous
2024-01-21,Transportation,5.5,Parking fee
2024-01-22,Food,17.26,Food delivery
2024-01-22,Shopping,26.4,Furniture
2024-01-23,Shopping,15.47,Shoes
2024-01-23,Transportation,6.29,Vehicle maintenance
2024-01-23,Healthcare,19.41,Doctor visit
2024-01-23,Transportation,4.74,Bus fare
2024-01-24,Education,30.41,Tuition
2024-01-25,Transportation,4.72,Car wash
2024-01-25,Other,16.46,Membership
2024-01-25,Healthcare,3.43,Health insurance
2024-01-25,Bills,34.75,Electricity
2024-01-26,Education,5.57,Tuition
2024-01-27,Healthcare,5.26,Eye exam
2024-01-27,Education,13.35,Study materials
2024-01-27,Transportation,5.66,Taxi ride
2024-01-27,Education,6.54,Software license
2024-01-28,Education,23.63,Seminar
2024-01-28,Education,13.18,Software license
2024-01-30,Bills,26.62,Gas bill
2024-01-30,Education,25.1,Books
2024-01-31,Shopping,19.61,Home items
2024-01-31,Entertainment,3.17,Movie tickets
2024-02-01,Entertainment,3.06,Bowling
2024-02-01,Transportation,10.14,Toll road
2024-02-01,Other,13.41,Subscription
2024-02-02,Healthcare,15.7,Medicine
2024-02-03,Bills,19.39,Internet
2024-02-03,Other,17.76,Pet supplies
2024-02-03,Other,2.42,Hobby materials
2024-02-03,Transportation,10.57,Car wash
2024-02-04,Shopping,11.79,Furniture
2024-02-04,Bills,48.17,Cable TV
2024-02-06,Other,4.17,Pet supplies
2024-02-06,Education,4.84,Certification
2024-02-06,Other,12.55,Miscellaneous
2024-02-07,Shopping,4.34,Kitchenware
2024-02-07,Healthcare,2.53,Health insurance
2024-02-08,Education,13.75,Training
2024-02-08,Bills,41.32,Insurance
2024-02-08,Other,9.49,Personal care
2024-02-09,Bills,21.52,Insurance
2024-02-09,Entertainment,5.17,Arcade
2024-02-09,Education,22.25,Study materials
2024-02-10,Healthcare,16.53,Physical therapy
2024-02-10,Healthcare,18.41,Eye exam
2024-02-10,Transportation,1.67,Parking fee
2024-02-11,Food,15.03,Lunch
2024-02-11,Food,11.47,Street food
2024-02-12,Healthcare,19.08,Eye exam
2024-02-12,Education,27.26,Software license
2024-02-12,Shopping,23.23,Decorations
2024-02-12,Food,7.63,Bakery items
2024-02-12,Food,2.97,Fruit stand
2024-02-12,Education,16.97,Certification
2024-02-13,Other,13.41,Personal care
2024-02-13,Other,9.85,Hobby materials
2024-02-14,Shopping,5.57,Bedding
2024-02-15,Healthcare,18.55,Medicine
2024-02-15,Healthcare,5.53,First aid
2024-02-16,Bills,28.44,Gas bill
2024-02-16,Shopping,13.34,Clothing
2024-02-16,Entertainment,5.72,Concert
2024-02-17,Bills,23.28,Electricity
2024-02-18,Bills,38.42,Insurance
2024-02-18,Shopping,20.01,Electronics
2024-02-19,Healthcare,8.86,Pharmacy
2024-02-20,Entertainment,12.44,Gaming
2024-02-20,Transportation,6.21,Taxi ride
2024-02-20,Bills,12.89,HOA fee
2024-02-21,Entertainment,9.3,Concert
2024-02-21,Entertainment,6.31,Music subscription
2024-02-21,Healthcare,8.63,Lab tests
2024-02-21,Food,10.91,Fruit stand
2024-02-21,Entertainment,6.47,Concert
2024-02-22,Bills,45.0,Trash service
2024-02-22,Transportation,9.02,Parking fee
2024-02-24,Transportation,10.6,Ride share
2024-02-24,Healthcare,19.24,Dental checkup
2024-02-25,Shopping,16.76,Clothing
2024-02-25,Entertainment,8.53,Streaming service
2024-02-26,Transportation,7.25,Toll road
2024-02-26,Healthcare,3.71,Physical therapy
2024-02-27,Bills,25.34,HOA fee
2024-02-29,Entertainment,9.04,Concert
2024-03-01,Bills,35.13,Electricity
2024-03-01,Bills,10.12,Gas bill
2024-03-02,Transportation,1.83,Parking fee
2024-03-02,Other,3.67,Miscellaneous
2024-03-02,Bills,17.41,Phone bill
2024-03-03,Entertainment,6.26,Theater show
2024-03-03,Transportation,1.25,Taxi ride
2024-03-04,Healthcare,2.39,Lab tests
2024-03-04,Transportation,2.33,Gas/Fuel
2024-03-05,Bills,30.72,Internet
2024-03-05,Shopping,4.61,Tools
2024-03-05,Education,6.04,Training
2024-03-06,Food,7.49,Fruit stand
2024-03-06,Entertainment,1.63,Arcade
2024-03-06,Shopping,11.47,Accessories
2024-03-07,Transportation,1.42,Taxi ride
2024-03-07,Bills,8.06,Phone bill
2024-03-08,Entertainment,7.63,Bowling
2024-03-10,Bills,16.08,Rent
2024-03-10,Healthcare,6.35,Pharmacy
2024-03-10,Shopping,5.17,Accessories
2024-03-10,Education,8.49,Workshop
2024-03-10,Other,2.91,Repair
2024-03-11,Shopping,15.81,Electronics
2024-03-11,Transportation,1.41,Parking fee
2024-03-12,Shopping,11.51,Shoes
2024-03-12,Food,2.25,Market shopping
2024-03-12,Entertainment,4.9,Theater show
2024-03-12,Bills,29.3,Trash service
2024-03-13,Healthcare,13.99,Doctor visit
2024-03-13,Entertainment,3.83,Movie tickets
2024-03-15,Healthcare,7.75,Physical therapy
2024-03-15,Food,10.07,Snacks
2024-03-15,Education,3.31,Supplies
2024-03-15,Bills,27.35,HOA fee
2024-03-15,Other,1.62,Miscellaneous
2024-03-15,Education,15.39,Supplies
2024-03-17,Education,9.75,Online course
2024-03-17,Education,14.29,Online course
2024-03-17,Other,10.07,Pet supplies
2024-03-17,Entertainment,4.5,Movie tickets
2024-03-19,Food,5.14,Butcher shop
2024-03-19,Entertainment,7.83,Movie tickets
2024-03-19,Entertainment,8.5,Concert
2024-03-20,Bills,10.51,Gas bill
2024-03-21,Healthcare,9.8,Lab tests
2024-03-21,Bills,11.97,Rent
2024-03-21,Shopping,15.25,Kitchenware
2024-03-21,Shopping,17.36,Bedding
2024-03-23,Food,8.95,Coffee shop
2024-03-23,Transportation,6.28,Parking fee
2024-03-23,Healthcare,12.68,Lab tests
2024-03-24,Shopping,10.53,Decorations
2024-03-24,Food,6.49,Bakery items
2024-03-25,Food,4.73,Butcher shop
2024-03-25,Shopping,10.79,Clothing
2024-03-26,Education,6.9,Online course
2024-03-26,Bills,9.42,Water bill
2024-03-26,Healthcare,9.69,Vitamins
2024-03-27,Bills,31.79,Gas bill
2024-03-27,Food,9.82,Street food
2024-03-28,Shopping,4.71,Kitchenware
2024-03-29,Education,9.46,Software license
2024-03-29,Bills,33.37,Phone bill
2024-03-29,Transportation,3.3,Vehicle maintenance
2024-03-29,Healthcare,14.12,Dental checkup
2024-03-30,Shopping,9.4,Tools
2024-03-30,Bills,24.65,Insurance
2024-03-30,Transportation,5.37,Gas/Fuel
2024-03-30,Transportation,6.41,Metro card
2024-03-30,Entertainment,1.39,Concert
2024-03-30,Other,7.63,Pet supplies
2024-03-31,Healthcare,4.82,Health insurance
2024-03-31,Other,7.17,Repair
2024-03-31,Shopping,10.84,Kitchenware
2024-04-01,Transportation,6.97,Metro card
2024-04-02,Other,1.41,Subscription
2024-04-02,Other,10.42,Pet supplies
2024-04-03,Other,7.83,Pet supplies
2024-04-06,Other,3.87,Beauty
2024-04-06,Food,9.35,Snacks
2024-04-06,Education,19.63,Books
2024-04-07,Shopping,22.86,Kitchenware
2024-04-08,Bills,10.02,Trash service
2024-04-08,Bills,32.15,Phone bill
2024-04-10,Healthcare,7.37,Lab tests
2024-04-10,Education,14.6,Tuition
2024-04-11,Entertainment,6.73,Concert
2024-04-12,Transportation,2.52,Ride share
2024-04-12,Bills,37.58,Rent
2024-04-12,Shopping,24.51,Furniture
2024-04-13,Other,5.77,Subscription
2024-04-14,Education,13.34,Training
2024-04-15,Other,6.41,Subscription
2024-04-15,Healthcare,15.18,Medicine
2024-04-15,Entertainment,12.97,Movie tickets
2024-04-16,Education,7.61,Books
2024-04-16,Shopping,23.12,Decorations
2024-04-16,Education,24.73,Supplies
2024-04-17,Education,9.44,Online course
2024-04-17,Transportation,9.2,Toll road
2024-04-17,Bills,13.49,Insurance
2024-04-17,Transportation,5.51,Bus fare
2024-04-18,Entertainment,3.25,Arcade
2024-04-18,Healthcare,18.96,Physical therapy
2024-04-18,Healthcare,4.56,Doctor visit
2024-04-19,Food,1.19,Grocery shopping
2024-04-19,Shopping,17.73,Shoes
2024-04-19,Food,2.71,Fruit stand
2024-04-20,Shopping,5.37,Clothing
2024-04-20,Bills,31.44,Gas bill
2024-04-20,Shopping,17.38,Home items
2024-04-21,Food,11.77,Dinner out
2024-04-22,Shopping,10.93,Electronics
2024-04-22,Shopping,22.89,Bedding
2024-04-23,Bills,40.36,Phone bill
2024-04-23,Healthcare,10.25,Pharmacy
2024-04-24,Bills,49.67,Insurance
2024-04-25,Entertainment,8.04,Arcade
2024-04-25,Food,8.56,Dinner out
2024-04-25,Shopping,21.33,Home items
2024-04-25,Entertainment,10.24,Music subscription
2024-04-25,Transportation,2.26,Vehicle maintenance
2024-04-25,Other,14.75,Pet supplies
2024-04-26,Healthcare,7.3,Pharmacy
2024-04-28,Healthcare,15.73,Doctor visit
2024-04-29,Food,3.1,Snacks
2024-04-29,Transportation,1.16,Metro card
2024-04-30,Entertainment,11.18,Music subscription
2024-04-30,Food,13.46,Restaurant meal
2024-05-01,Bills,49.53,Phone bill
2024-05-01,Shopping,14.48,Clothing
2024-05-02,Healthcare,10.8,Eye exam
2024-05-02,Other,3.84,Personal care
2024-05-03,Education,13.86,Books
2024-05-03,Bills,36.83,Electricity
2024-05-04,Transportation,5.87,Gas/Fuel
2024-05-06,Healthcare,4.22,Dental checkup
2024-05-06,Shopping,23.92,Clothing
2024-05-07,Food,6.76,Seafood
2024-05-07,Transportation,7.96,Car wash
2024-05-07,Other,5.61,Membership
2024-05-08,Entertainment,12.8,Movie tickets
2024-05-08,Entertainment,11.11,Sports event
2024-05-09,Education,31.41,Certification
2024-05-11,Transportation,2.33,Vehicle maintenance
2024-05-11,Other,15.29,Gift
2024-05-13,Entertainment,5.59,Concert
2024-05-13,Entertainment,7.71,Bowling
2024-05-13,Food,13.51,Restaurant meal
2024-05-13,Other,18.55,Subscription
2024-05-13,Other,3.5,Personal care
2024-05-14,Bills,57.37,Internet
2024-05-14,Shopping,5.97,Tools
2024-05-15,Shopping,17.94,Home items
2024-05-16,Entertainment,4.49,Gaming
2024-05-16,Food,7.23,Grocery shopping
2024-05-17,Other,9.52,Repair
2024-05-18,Transportation,7.65,Taxi ride
2024-05-18,Bills,41.72,Insurance
2024-05-20,Education,11.24,Certification
2024-05-20,Education,20.11,Online course
2024-05-20,Shopping,25.3,Tools
2024-05-21,Entertainment,11.49,Concert
2024-05-22,Food,8.16,Coffee shop
2024-05-22,Food,17.55,Coffee shop
2024-05-22,Transportation,8.62,Metro card
2024-05-22,Healthcare,2.29,Physical therapy
2024-05-23,Healthcare,17.79,Lab tests
2024-05-24,Transportation,1.41,Uber
2024-05-25,Bills,60.7,Electricity
2024-05-26,Transportation,3.08,Toll road
2024-05-26,Healthcare,22.84,Eye exam
2024-05-27,Other,4.62,Gift
2024-05-28,Education,19.91,Seminar
2024-05-28,Healthcare,20.59,Lab tests
2024-05-28,Healthcare,2.52,Eye exam
2024-05-28,Bills,61.62,Insurance
2024-05-29,Entertainment,16.54,Concert
2024-05-29,Bills,33.71,Gas bill
2024-05-29,Entertainment,5.57,Arcade
2024-05-30,Food,14.84,Street food
2024-06-01,Education,8.24,Tuition
2024-06-01,Education,18.76,Training
2024-06-01,Other,9.27,Donation
2024-06-01,Healthcare,2.06,Pharmacy
2024-06-03,Shopping,6.88,Electronics
2024-06-03,Food,3.47,Breakfast cafe
2024-06-05,Education,16.32,Training
2024-06-06,Education,9.58,Software license
2024-06-06,Education,3.83,Books
2024-06-07,Food,6.24,Seafood
2024-06-07,Transportation,4.09,Bus fare
2024-06-07,Food,2.8,Snacks
2024-06-08,Healthcare,8.69,Medicine
2024-06-08,Transportation,7.05,Car wash
2024-06-09,Other,9.73,Beauty
2024-06-09,Other,12.47,Beauty
2024-06-09,Other,5.78,Donation
2024-06-09,Shopping,17.77,Bedding
2024-06-10,Food,9.36,Restaurant meal
2024-06-10,Shopping,20.07,Bedding
2024-06-10,Healthcare,9.9,Health insurance
2024-06-11,Transportation,7.6,Parking fee
2024-06-11,Entertainment,2.83,Movie tickets
2024-06-11,Transportation,7.38,Vehicle maintenance
2024-06-12,Other,2.96,Repair
2024-06-12,Healthcare,14.18,Physical therapy
2024-06-12,Bills,28.33,Gas bill
2024-06-13,Transportation,6.46,Ride share
2024-06-14,Other,7.99,Hobby materials
2024-06-14,Shopping,16.36,Bedding
2024-06-14,Entertainment,1.43,Concert
2024-06-15,Shopping,3.2,Shoes
2024-06-15,Education,9.68,Training
2024-06-15,Bills,28.07,Electricity
2024-06-15,Entertainment,4.58,Movie tickets
2024-06-16,Bills,37.9,Electricity
2024-06-18,Shopping,4.7,Bedding
2024-06-18,Education,18.71,Study materials
2024-06-18,Transportation,3.57,Vehicle maintenance
2024-06-18,Shopping,16.51,Furniture
2024-06-18,Transportation,5.3,Toll road
2024-06-19,Entertainment,9.78,Music subscription
2024-06-19,Bills,22.17,Trash service
2024-06-19,Healthcare,15.14,Doctor visit
2024-06-19,Food,1.29,Fruit stand
2024-06-20,Shopping,7.3,Accessories
2024-06-20,Shopping,14.86,Electronics
2024-06-20,Other,6.52,Miscellaneous
2024-06-21,Entertainment,10.14,Gaming
2024-06-22,Shopping,9.22,Shoes
2024-06-22,Transportation,5.56,Uber
2024-06-22,Bills,29.29,Rent
2024-06-23,Education,19.2,Workshop
2024-06-24,Transportation,6.55,Uber
2024-06-24,Shopping,8.41,Kitchenware
2024-06-25,Healthcare,9.26,Health insurance
2024-06-25,Bills,37.24,HOA fee
2024-06-26,Healthcare,5.72,Lab tests
2024-06-26,Food,1.58,Fast food
2024-06-27,Education,16.2,Training
2024-06-27,Healthcare,5.6,Dental checkup
2024-06-28,Education,17.53,Tuition
2024-06-29,Transportation,5.15,Metro card
2024-06-29,Transportation,6.27,Metro card
2024-06-30,Entertainment,9.94,Sports event
2024-06-30,Entertainment,9.58,Sports event
2024-06-30,Education,11.49,Training
2024-07-01,Shopping,9.41,Shoes
2024-07-01,Transportation,7.17,Taxi ride
2024-07-01,Food,12.93,Restaurant meal
2024-07-02,Bills,10.29,Water bill
2024-07-02,Food,13.8,Breakfast cafe
2024-07-02,Entertainment,8.68,Movie tickets
2024-07-03,Food,8.19,Fast food
2024-07-04,Other,8.6,Miscellaneous
2024-07-05,Bills,27.53,Internet
2024-07-06,Entertainment,10.99,Museum
2024-07-06,Food,8.74,Snacks
2024-07-06,Other,8.41,Beauty
2024-07-06,Other,15.91,Subscription
2024-07-07,Food,3.8,Breakfast cafe
2024-07-07,Other,8.67,Hobby materials
2024-07-08,Healthcare,12.49,Dental checkup
2024-07-09,Shopping,17.02,Home items
2024-07-10,Healthcare,16.66,Eye exam
2024-07-10,Education,10.17,Study materials
2024-07-11,Shopping,7.56,Clothing
2024-07-12,Education,22.24,Study materials
2024-07-13,Healthcare,23.43,First aid
2024-07-13,Education,9.7,Supplies
2024-07-13,Healthcare,12.54,Pharmacy
2024-07-13,Transportation,5.31,Ride share
2024-07-14,Education,31.64,Tuition
2024-07-15,Transportation,9.13,Car wash
2024-07-15,Food,5.71,Lunch
2024-07-15,Entertainment,7.17,Museum
2024-07-16,Transportation,6.45,Toll road
2024-07-16,Healthcare,15.64,First aid
2024-07-16,Bills,45.58,Cable TV
2024-07-17,Education,21.13,Books
2024-07-17,Transportation,1.51,Car wash
2024-07-18,Healthcare,20.64,Medicine
2024-07-19,Education,28.95,Study materials
2024-07-19,Bills,48.02,Water bill
2024-07-20,Healthcare,21.32,Vitamins
2024-07-20,Education,13.92,Online course
2024-07-20,Other,14.69,Subscription
2024-07-21,Transportation,3.05,Parking fee
2024-07-21,Shopping,8.48,Home items
2024-07-22,Bills,48.11,Gas bill
2024-07-23,Education,14.5,Workshop
2024-07-23,Bills,45.08,Gas bill
2024-07-24,Bills,48.42,Water bill
2024-07-26,Transportation,4.87,Gas/Fuel
2024-07-26,Entertainment,3.61,Theater show
2024-07-27,Education,29.41,Certification
2024-07-27,Shopping,13.12,Bedding
2024-07-28,Food,8.25,Seafood
2024-07-29,Healthcare,13.08,First aid
2024-07-30,Shopping,21.86,Clothing
2024-07-30,Education,7.2,Training
2024-07-31,Shopping,12.21,Electronics
2024-08-01,Entertainment,3.45,Gaming
2024-08-01,Shopping,6.44,Home items
2024-08-02,Bills,46.02,HOA fee
2024-08-04,Other,16.0,Membership
2024-08-04,Entertainment,11.02,Concert
2024-08-04,Other,10.86,Personal care
2024-08-05,Bills,31.32,Cable TV
2024-08-06,Food,3.41,Bakery items
2024-08-06,Transportation,9.94,Ride share
2024-08-07,Entertainment,9.1,Streaming service
2024-08-07,Other,1.77,Beauty
2024-08-07,Shopping,6.68,Kitchenware
2024-08-09,Education,21.76,Study materials
2024-08-09,Healthcare,6.7,Medicine
2024-08-11,Transportation,9.05,Vehicle maintenance
2024-08-12,Entertainment,6.03,Streaming service
2024-08-12,Transportation,8.88,Uber
2024-08-12,Entertainment,6.06,Concert
2024-08-13,Food,11.23,Grocery shopping
2024-08-13,Healthcare,18.63,Pharmacy
2024-08-13,Bills,13.16,Phone bill
2024-08-13,Bills,46.01,Trash service
2024-08-13,Other,7.81,Miscellaneous
2024-08-13,Transportation,2.0,Metro card
2024-08-14,Healthcare,9.1,Dental checkup
2024-08-14,Healthcare,7.49,Dental checkup
2024-08-14,Food,12.02,Butcher shop
2024-08-14,Other,8.25,Miscellaneous
2024-08-14,Healthcare,9.26,Doctor visit
2024-08-14,Bills,44.25,Cable TV
2024-08-15,Bills,40.11,Insurance
2024-08-15,Transportation,1.43,Toll road
2024-08-15,Entertainment,8.53,Bowling
2024-08-16,Healthcare,4.43,Eye exam
2024-08-16,Food,3.93,Coffee shop
2024-08-16,Shopping,4.2,Electronics
2024-08-16,Shopping,19.84,Home items
2024-08-19,Shopping,17.13,Accessories
2024-08-19,Transportation,7.36,Bus fare
2024-08-19,Healthcare,4.69,Doctor visit
2024-08-20,Bills,34.33,Internet
2024-08-21,Entertainment,8.65,Streaming service
2024-08-21,Bills,42.28,HOA fee
2024-08-22,Food,6.93,Food delivery
2024-08-22,Education,24.77,Supplies
2024-08-23,Entertainment,11.73,Museum
2024-08-23,Food,5.58,Fruit stand
2024-08-24,Bills,35.66,Gas bill
2024-08-24,Other,4.02,Personal care
2024-08-25,Healthcare,12.01,Pharmacy
2024-08-25,Education,15.05,Certification
2024-08-25,Bills,20.52,HOA fee
2024-08-26,Food,1.85,Market shopping
2024-08-26,Bills,24.38,Trash service
2024-08-27,Transportation,5.45,Taxi ride
2024-08-28,Other,4.79,Pet supplies
2024-08-29,Bills,26.31,HOA fee
2024-08-30,Healthcare,18.58,Dental checkup
2024-08-31,Food,1.04,Fast food
2024-08-31,Healthcare,9.41,Eye exam
2024-08-31,Education,4.49,Certification
2024-09-01,Other,6.39,Membership
2024-09-01,Healthcare,10.25,First aid
2024-09-01,Healthcare,16.8,Lab tests
2024-09-01,Entertainment,11.22,Movie tickets
2024-09-02,Education,5.11,Workshop
2024-09-02,Other,13.25,Repair
2024-09-03,Entertainment,7.73,Music subscription
2024-09-03,Transportation,0.77,Uber
2024-09-04,Entertainment,3.1,Concert
2024-09-04,Entertainment,9.75,Arcade
2024-09-05,Healthcare,20.67,Medicine
2024-09-05,Other,12.71,Pet supplies
2024-09-05,Food,14.96,Seafood
2024-09-05,Food,10.99,Fruit stand
2024-09-06,Food,1.68,Butcher shop
2024-09-06,Other,15.48,Gift
2024-09-07,Healthcare,5.32,Doctor visit
2024-09-07,Education,15.09,Seminar
2024-09-07,Other,4.85,Donation
2024-09-09,Healthcare,2.63,Physical therapy
2024-09-09,Education,24.39,Supplies
2024-09-09,Transportation,7.52,Bus fare
2024-09-09,Shopping,19.91,Clothing
2024-09-09,Bills,24.17,Rent
2024-09-11,Other,2.65,Subscription
2024-09-11,Transportation,3.39,Toll road
2024-09-12,Food,8.35,Market shopping
2024-09-14,Food,8.32,Street food
2024-09-15,Bills,23.69,Insurance
2024-09-16,Healthcare,3.25,Vitamins
2024-09-16,Transportation,5.19,Ride share
2024-09-16,Shopping,19.09,Decorations
2024-09-17,Bills,50.45,Gas bill
2024-09-17,Education,10.18,Seminar
2024-09-18,Food,4.91,Lunch
2024-09-18,Food,12.35,Breakfast cafe
2024-09-18,Transportation,6.78,Taxi ride
2024-09-18,Transportation,1.13,Gas/Fuel
2024-09-18,Transportation,8.55,Parking fee
2024-09-19,Other,4.16,Hobby materials
2024-09-20,Other,7.14,Repair
2024-09-21,Shopping,23.43,Clothing
2024-09-22,Entertainment,5.98,Gaming
2024-09-23,Other,9.88,Membership
2024-09-23,Education,8.69,Tuition
2024-09-23,Entertainment,5.13,Arcade
2024-09-23,Food,11.96,Restaurant meal
2024-09-23,Bills,44.55,Insurance
2024-09-23,Food,3.05,Coffee shop
2024-09-23,Other,1.76,Personal care
2024-09-24,Other,15.34,Repair
2024-09-24,Entertainment,4.36,Streaming service
2024-09-24,Entertainment,11.41,Music subscription
2024-09-25,Bills,14.01,Rent
2024-09-26,Shopping,19.45,Kitchenware
2024-09-26,Transportation,5.43,Parking fee
2024-09-26,Education,12.93,Study materials
2024-09-26,Healthcare,17.04,Medicine
2024-09-27,Transportation,2.78,Car wash
2024-09-28,Healthcare,7.21,Medicine
2024-09-28,Entertainment,4.95,Concert
